theme_park,sub_land,ride_name,height_requirement,avg_wait_time
Magic Kingdom,Tomorrowland,Astro Orbiter,0,28
Magic Kingdom,Fantasyland,The Barnstormer,35,20
Magic Kingdom,Frontierland,Big Thunder Mountain Railroad,40,38
Magic Kingdom,Tomorrowland,Buzz Lightyear’s Space Ranger Spin,0,31
Magic Kingdom,Fantasyland,Casey Jr. Splash ‘N’ Soak Station,0,0
Magic Kingdom,Frontierland,Country Bear Jamboree,0,15
Magic Kingdom,Fantasyland,Dumbo the Flying Elephant,0,17
Magic Kingdom,Fantasyland,Enchanted Tales with Belle,0,28
Magic Kingdom,Frontierland,Frontierland Shootin’ Arcade,0,0
Magic Kingdom,Liberty Square,The Hall of Presidents,0,12
Magic Kingdom,Liberty Square,Haunted Mansion,0,38
Magic Kingdom,Fantasyland,“it’s a small world”,0,21
Magic Kingdom,Adventureland,Jungle Cruise,0,48
Magic Kingdom,Liberty Square,Liberty Square Riverboat,0,15
Magic Kingdom,Fantasyland,Mad Tea Party,0,12
Magic Kingdom,Adventureland,The Magic Carpets of Aladdin,0,16
Magic Kingdom,Fantasyland,The M0 Adventures of Winnie the Pooh,0,34
Magic Kingdom,Fantasyland,Mickey’s PhilharMagic,0,15
Magic Kingdom,Tomorrowland,"Monsters, Inc. Laugh Floor",0,13
Magic Kingdom,Fantasyland,Peter Pan’s Flight,0,59
Magic Kingdom,Adventureland,A Pirate’s Adventure ~ Treasures of the Seven Seas,0,0
Magic Kingdom,Adventureland,Pirates of the Caribbean,0,26
Magic Kingdom,Fantasyland,Prince Charming Regal Carrousel,0,10
Magic Kingdom,Fantasyland,Seven Dwarfs Mine Train,38,72
Magic Kingdom,Tomorrowland,Space Mountain,44,51
Magic Kingdom,Adventureland,Swiss Family Treehouse,0,5
Magic Kingdom,Tomorrowland,Tomorrowland Speedway,32,16
Magic Kingdom,Tomorrowland,Tomorrowland Transit Authority PeopleMover,0,11
Magic Kingdom,Frontierland,Tom Sawyer Island,0,5
Magic Kingdom,Tomorrowland,TRON Lightcycle / Run,48,0
Magic Kingdom,Fantasyland,Under the Sea ~ Journey of the Little Mermaid,0,21
Magic Kingdom,Tomorrowland,Walt Disney’s Carousel of Progress,0,5
Magic Kingdom,Adventureland,Walt Disney’s Enchanted Tiki Room,0,13
Magic Kingdom,"Main Street, U.S.A",Walt Disney World Railroad,0,14
EPCOT,World Discovery,Advanced Training Lab,0,0
EPCOT,World Showcase,The American Adventure,0,0
EPCOT,World Celebration,Disney & Pixar Short Film Festival,0,8
EPCOT,"
World Showcase",Frozen Ever After,0,63
EPCOT,"
World Showcase",Gran Fiesta Tour Starring The Three Caballeros,0,10
EPCOT,World Discovery,Guardians of the Galaxy: Cosmic Rewind,42,30
EPCOT,World Showcase,Impressions de France,0,0
EPCOT,World Celebration,Journey Into Imagination With Figment,0,13
EPCOT,World Nature,Living with the Land,0,14
EPCOT,World Discovery,Mission: SPACE,40,23
EPCOT,World Showcase,O Canada!,0,18
EPCOT,World Showcase,Reflections of China,0,0
EPCOT,"
World Showcase",Remy's Ratatouille Adventure,0,73
EPCOT,World Nature,The Seas with Nemo & Friends,0,13
EPCOT,World Nature,Soarin’ Around the World,40,42
EPCOT,World Celebration,Spaceship Earth,0,18
EPCOT,World Discovery,Test Track,40,62
EPCOT,World Nature,Turtle Talk With Crush,0,13
Hollywood Studios,Toy Story Land,Alien Swirling Saucers,32,31
Hollywood Studios,Hollywood Boulevard,Mickey & Minnie's Runaway Railway,0,55
Hollywood Studios,Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run,38,56
Hollywood Studios,Grand Avenue,Muppet*Vision 3D,0,0
Hollywood Studios,Sunset Boulevard,Rock ‘n’ Roller Coaster Starring Aerosmith,48,60
Hollywood Studios,Toy Story Land,Slinky Dog Dash,38,79
Hollywood Studios,Echo Lake,Star Tours,40,21
Hollywood Studios,Star Wars: Galaxy's Edge,Star Wars: Rise of the Resistance,40,94
Hollywood Studios,Toy Story Land,Toy Story Mania!,0,54
Hollywood Studios,Sunset Boulevard,The Twilight Zone Tower of Terror,40,55
Animal Kingdom,Rafiki's Planet Watch,Affection Section,0,0
Animal Kingdom,Pandora,Avatar Flight of Passage,44,106
Animal Kingdom,DinoLand U.S.A,The Boneyard,0,12
Animal Kingdom,Rafiki's Planet Watch,Conservation Station,0,0
Animal Kingdom,DinoLand U.S.A,DINOSAUR,40,26
Animal Kingdom,Discovery Island,Discovery Island Trails,0,0
Animal Kingdom,Asia,Expedition Everest - Legend of the Forbidden Mountain,44,32
Animal Kingdom,Africa,Gorilla Falls Exploration Trail,0,12
Animal Kingdom,Discovery Island,It’s Tough to be a Bug!,0,11
Animal Kingdom,Asia,Kali River Rapids,38,31
Animal Kingdom,Africa,Kilimanjaro Safaris,0,40
Animal Kingdom,Asia,Maharajah Jungle Trek,0,0
Animal Kingdom,Pandora,Na’vi River Journey,0,63
Animal Kingdom,Discovery Island,Tree of Life,0,0
Animal Kingdom,DinoLand U.S.A,TriceraTop Spin,0,8
Animal Kingdom,Africa,Wildlife Express Train,0,20